Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length
SRR7093809	50.0	20.0	54.46423823573769	23022560.0	73.66378039627217
SRR7093810	50.0	20.0	54.47841753294128	20510534.0	73.65178322514664
SRR7093812	50.0	20.0	56.12341635409331	19932454.0	73.68271663890457
SRR7093814	50.0	20.0	54.922348042894406	18160877.0	73.65441602847704
SRR7093818	49.0	20.0	57.172474483802084	21633102.0	73.65508164293776
SRR7093819	51.0	20.0	63.091764934542525	30587980.0	73.64366277210853
SRR7093821	49.0	20.0	59.72810537709108	16108262.0	73.66058374267814
SRR7093822	50.0	20.0	58.18102360799427	14604343.0	73.65638303619683
SRR7093826	50.0	20.0	54.15504977040462	19016388.0	73.6634313519476
SRR7093828	50.0	20.0	53.28570274263527	16619591.0	73.6860591816008
SRR7093831	48.0	20.0	53.90412167050466	16591286.0	73.68063488267275
SRR7093839	51.0	20.0	57.34698482282246	24101040.0	73.6567348131035
SRR7093842	50.0	20.0	54.36386633863026	18707727.0	73.65800463092069
SRR7093843	50.0	20.0	53.10971430574267	16071172.0	73.64823212644355
SRR7093845	49.0	20.0	53.52656495154034	15040777.0	73.66801515639784
SRR7093846	51.0	20.0	53.48119340802593	16401470.0	73.6596455073844
SRR7093849	49.0	20.0	52.81238399044368	15974666.0	73.64355173372638
SRR7093859	53.0	20.0	54.99939765399421	17098072.0	73.68575532960675
SRR7093860	51.0	20.0	54.42000876106923	20160400.0	73.66800480149203
SRR7093862	45.0	20.0	56.459600112732865	12974978.0	50.4703507782441
SRR7093870	45.0	20.0	58.230977010647734	13702015.0	50.4462396224205
SRR7093871	48.0	20.0	59.759513484494384	24209878.0	50.47382440341087
SRR7093873	47.0	10.0	18.251180908243697	13537823.0	50.467521919883275
SRR7093893	50.0	10.0	48.26132477907748	10934577.0	73.58531491433094
