Module	Section	Sample Name	Source
FastQC	all_sections	SRR7093818	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093818_trimmed_fastqc.zip
FastQC	all_sections	SRR7093842	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093842_trimmed_fastqc.zip
FastQC	all_sections	SRR7093862	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093862_trimmed_fastqc.zip
FastQC	all_sections	SRR7093822	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093822_trimmed_fastqc.zip
FastQC	all_sections	SRR7093870	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093870_trimmed_fastqc.zip
FastQC	all_sections	SRR7093809	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093809_trimmed_fastqc.zip
FastQC	all_sections	SRR7093893	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093893_trimmed_fastqc.zip
FastQC	all_sections	SRR7093859	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093859_trimmed_fastqc.zip
FastQC	all_sections	SRR7093845	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093845_trimmed_fastqc.zip
FastQC	all_sections	SRR7093819	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093819_trimmed_fastqc.zip
FastQC	all_sections	SRR7093810	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093810_trimmed_fastqc.zip
FastQC	all_sections	SRR7093839	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093839_trimmed_fastqc.zip
FastQC	all_sections	SRR7093831	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093831_trimmed_fastqc.zip
FastQC	all_sections	SRR7093846	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093846_trimmed_fastqc.zip
FastQC	all_sections	SRR7093821	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093821_trimmed_fastqc.zip
FastQC	all_sections	SRR7093871	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093871_trimmed_fastqc.zip
FastQC	all_sections	SRR7093873	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093873_trimmed_fastqc.zip
FastQC	all_sections	SRR7093843	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093843_trimmed_fastqc.zip
FastQC	all_sections	SRR7093860	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093860_trimmed_fastqc.zip
FastQC	all_sections	SRR7093812	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093812_trimmed_fastqc.zip
FastQC	all_sections	SRR7093814	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093814_trimmed_fastqc.zip
FastQC	all_sections	SRR7093826	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093826_trimmed_fastqc.zip
FastQC	all_sections	SRR7093849	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093849_trimmed_fastqc.zip
FastQC	all_sections	SRR7093828	/athena/angsd/scratch/bplee/project/final_project/fastqc_reports/subset_reports/SRR7093828_trimmed_fastqc.zip
